target
material_name,resistivity,bandgap,structure
GaAs,0.0506,1.24,Monoclinic
Si,0.3492,1.76,Hexagonal
GaAs,0.3389,3.46,Hexagonal
Si,0.2134,2.49,Orthorhombic
Ge,0.7358,3.38,Hexagonal
GaAs,0.3769,2.9,Cubic
CuMnSnO,0.3663,3.15,Hexagonal
ZnO,0.7758,2.56,Monoclinic
ZnO,0.6262,1.92,Cubic
Ge,0.461,2.42,Monoclinic
GaAs,0.6769,2.14,Monoclinic
CuO,0.7564,1.08,Cubic
CuMnSnO,0.9352,1.95,Orthorhombic
GaAs,0.6988,2.28,Tetragonal
ZnO,0.7559,2.52,Orthorhombic
CuMnSnO,0.9273,1.71,Cubic
CuMnSnO,0.1674,2.01,Tetragonal
GaAs,0.0739,1.33,Tetragonal
GaAs,0.5886,1.21,Cubic
GaAs,0.9943,2.85,Orthorhombic
CuMnSnO,0.3843,1.47,Tetragonal
ZnO,0.5726,2.64,Orthorhombic
Ge,0.728,3.31,Orthorhombic
GaAs,0.0875,3.19,Tetragonal
Si,0.0394,1.07,Hexagonal
CuO,0.4248,1.52,Monoclinic
Si,0.4612,2.06,Cubic
GaAs,0.6295,1.65,Orthorhombic
Si,0.081,1.32,Cubic
GaAs,0.2198,3.18,Monoclinic
GaAs,0.0266,1.69,Monoclinic
ZnO,0.3025,2.73,Cubic
GaAs,0.5486,2.32,Monoclinic
CuO,0.2555,2.43,Tetragonal
Ge,0.071,1.82,Tetragonal
GaAs,0.1492,3.03,Orthorhombic
GaAs,0.6973,1.55,Orthorhombic
Ge,0.1586,3.28,Hexagonal
Si,0.9802,3.45,Orthorhombic
CuO,0.7975,2.88,Cubic
Si,0.278,2.57,Monoclinic
Si,0.4834,1.28,Monoclinic
Ge,0.6849,2.49,Hexagonal
Ge,0.5809,2.98,Tetragonal
GaAs,0.9465,1.24,Hexagonal
CuO,0.1953,1.3,Tetragonal
CuO,0.5635,1.35,Monoclinic
GaAs,0.7757,2.74,Hexagonal
GaAs,0.3784,2.22,Tetragonal
CuO,0.2592,1.92,Orthorhombic
GaAs,0.7323,2.05,Hexagonal
CuMnSnO,0.9311,3.47,Orthorhombic
ZnO,0.4798,2.64,Cubic
CuMnSnO,0.124,1.96,Orthorhombic
GaAs,0.918,3.43,Tetragonal
Si,0.1424,2.39,Hexagonal
GaAs,0.2799,2.57,Hexagonal
GaAs,0.2951,3.16,Hexagonal
CuO,0.0637,2.08,Tetragonal
GaAs,0.7673,1.45,Monoclinic
CuO,0.7195,3.27,Orthorhombic
CuO,0.1071,1.91,Hexagonal
Si,0.4516,1.98,Orthorhombic
CuO,0.1207,1.81,Hexagonal
CuMnSnO,0.6237,1.91,Orthorhombic
Si,0.9548,2.42,Hexagonal
CuMnSnO,0.5061,2.92,Cubic
Ge,0.098,1.23,Orthorhombic
ZnO,0.6408,1.72,Orthorhombic
CuMnSnO,0.0184,2.32,Hexagonal
Ge,0.6193,3.17,Hexagonal
Ge,0.6514,1.38,Orthorhombic
CuO,0.7039,2.15,Tetragonal
Si,0.9872,2.43,Tetragonal
Si,0.3383,2.64,Tetragonal
CuMnSnO,0.9032,1.56,Tetragonal
Si,0.7902,2.97,Orthorhombic
CuO,0.0117,2.48,Cubic
ZnO,0.8805,2.18,Monoclinic
ZnO,0.4763,3.23,Orthorhombic
CuO,0.3791,1.64,Hexagonal
CuMnSnO,0.6132,1.56,Tetragonal
CuO,0.0578,2.42,Hexagonal
CuMnSnO,0.4012,3.03,Cubic
CuO,0.4663,2.73,Orthorhombic
Si,0.8267,2.65,Hexagonal
ZnO,0.86,1.85,Tetragonal
Ge,0.6685,1.97,Tetragonal
CuMnSnO,0.7239,2.79,Cubic
CuO,0.1876,1.02,Cubic
ZnO,0.351,2.7,Monoclinic
CuO,0.5784,1.49,Tetragonal
Si,0.5076,2.34,Monoclinic
Ge,0.7162,3.42,Cubic
Ge,0.7442,1.5,Hexagonal
CuMnSnO,0.5792,2.6,Cubic
Ge,0.8807,3.09,Orthorhombic
Ge,0.6207,2.67,Hexagonal
CuMnSnO,0.7717,1.42,Cubic
GaAs,0.9364,3.45,Orthorhombic
ZnO,0.0665,3.12,Orthorhombic
CuO,0.8024,2.16,Hexagonal
ZnO,0.43,3.34,Hexagonal
Si,0.5506,2.5,Orthorhombic
Si,0.4401,3.24,Monoclinic
CuMnSnO,0.2433,3.25,Cubic
Ge,0.9025,3.28,Monoclinic
ZnO,0.6673,1.24,Tetragonal
Ge,0.9155,1.14,Monoclinic
Ge,0.3205,2.86,Monoclinic
GaAs,0.459,1.73,Monoclinic
Ge,0.2524,1.87,Tetragonal
CuMnSnO,0.2424,3.1,Tetragonal
ZnO,0.4251,1.14,Orthorhombic
GaAs,0.4709,2.39,Monoclinic
Si,0.3714,1.72,Monoclinic
Si,0.0286,2.45,Monoclinic
GaAs,0.1521,2.96,Orthorhombic
CuO,0.9551,2.0,Monoclinic
CuMnSnO,0.463,3.31,Cubic
Ge,0.9447,2.34,Orthorhombic
GaAs,0.5399,2.77,Monoclinic
CuO,0.6875,3.43,Tetragonal
ZnO,0.1553,1.4,Tetragonal
GaAs,0.9467,3.44,Hexagonal
GaAs,0.9934,2.64,Cubic
CuMnSnO,0.5232,1.05,Monoclinic
Si,0.4079,2.04,Cubic
CuO,0.7359,1.94,Orthorhombic
CuMnSnO,0.2433,2.73,Monoclinic
ZnO,0.7421,2.86,Monoclinic
ZnO,0.2713,1.77,Orthorhombic
GaAs,0.8721,2.22,Monoclinic
GaAs,0.9556,2.56,Tetragonal
CuMnSnO,0.611,1.87,Tetragonal
GaAs,0.8571,3.16,Orthorhombic
CuMnSnO,0.6329,2.16,Cubic
Ge,0.1231,3.21,Monoclinic
Si,0.1301,2.55,Cubic
CuMnSnO,0.3576,1.91,Monoclinic
CuO,0.0317,1.8,Tetragonal
Si,0.966,2.2,Tetragonal
Si,0.21,2.33,Monoclinic
CuMnSnO,0.0933,3.27,Monoclinic
ZnO,0.3002,3.24,Orthorhombic
Ge,0.556,2.66,Tetragonal
CuMnSnO,0.1674,1.98,Monoclinic
GaAs,0.1506,1.83,Hexagonal
CuMnSnO,0.3609,3.42,Hexagonal
ZnO,0.8201,1.37,Monoclinic
CuMnSnO,0.6198,1.91,Hexagonal
CuMnSnO,0.9686,3.28,Tetragonal
GaAs,0.125,2.47,Orthorhombic
Ge,0.1023,1.42,Hexagonal
CuMnSnO,0.7726,1.47,Monoclinic
Ge,0.6075,1.64,Tetragonal
CuO,0.0141,3.15,Monoclinic
Ge,0.9376,2.82,Monoclinic
CuMnSnO,0.7769,1.2,Monoclinic
GaAs,0.7906,2.46,Cubic
Ge,0.559,2.1,Cubic
CuMnSnO,0.2635,2.95,Orthorhombic
CuO,0.5456,2.15,Orthorhombic
GaAs,0.1322,1.48,Hexagonal
ZnO,0.6515,2.09,Monoclinic
ZnO,0.263,2.21,Cubic
GaAs,0.3958,3.26,Cubic
Si,0.2978,1.9,Tetragonal
Si,0.7344,2.5,Cubic
ZnO,0.7078,2.83,Orthorhombic
CuO,0.3739,2.14,Tetragonal
CuMnSnO,0.3898,3.4,Hexagonal
Si,0.3587,2.25,Monoclinic
Si,0.9155,2.04,Monoclinic
CuO,0.2947,1.26,Tetragonal
ZnO,0.5397,2.85,Tetragonal
GaAs,0.1865,2.66,Cubic
CuO,0.741,1.5,Monoclinic
Ge,0.1261,1.97,Cubic
GaAs,0.7161,1.94,Tetragonal
GaAs,0.7743,3.0,Cubic
CuO,0.7506,2.03,Orthorhombic
CuO,0.9714,1.13,Tetragonal
GaAs,0.5789,2.45,Hexagonal
Ge,0.4655,3.15,Orthorhombic
CuO,0.098,2.32,Hexagonal
ZnO,0.4456,1.63,Hexagonal
ZnO,0.3844,1.8,Cubic
Ge,0.5298,2.87,Tetragonal
GaAs,0.6277,2.42,Hexagonal
CuMnSnO,0.1319,1.98,Orthorhombic
Ge,0.6223,3.33,Monoclinic
GaAs,0.7876,1.62,Cubic
CuO,0.2463,2.78,Orthorhombic
Si,0.1672,1.51,Tetragonal
Ge,0.0649,2.65,Monoclinic
GaAs,0.0806,2.15,Monoclinic
CuMnSnO,0.9677,2.96,Orthorhombic
ZnO,0.0307,3.02,Monoclinic
ZnO,0.6581,2.51,Hexagonal
ZnO,0.4327,1.66,Hexagonal
CuO,0.3463,2.78,Cubic
ZnO,0.2326,3.42,Cubic
Si,0.5359,1.55,Hexagonal
CuO,0.6759,1.05,Hexagonal
GaAs,0.9672,2.34,Monoclinic
GaAs,0.2248,2.04,Cubic
ZnO,0.5259,3.37,Tetragonal
CuMnSnO,0.8602,3.1,Tetragonal
Si,0.1906,1.35,Tetragonal
CuMnSnO,0.7612,2.68,Monoclinic
CuO,0.0287,3.16,Hexagonal
Ge,0.4533,2.76,Orthorhombic
CuO,0.1063,1.82,Orthorhombic
Si,0.7006,2.11,Monoclinic
ZnO,0.6477,2.48,Orthorhombic
Si,0.1349,1.34,Monoclinic
Ge,0.4063,3.09,Cubic
Ge,0.483,2.64,Orthorhombic
Si,0.3679,2.61,Cubic
ZnO,0.0449,1.02,Orthorhombic
Ge,0.8922,2.62,Orthorhombic
CuMnSnO,0.4384,2.66,Monoclinic
GaAs,0.0352,2.74,Cubic
CuO,0.1335,2.83,Orthorhombic
GaAs,0.9987,1.49,Monoclinic
CuO,0.0744,2.94,Hexagonal
Ge,0.2009,1.88,Orthorhombic
GaAs,0.4718,2.99,Cubic
CuO,0.7976,3.37,Orthorhombic
GaAs,0.8403,2.52,Cubic
CuMnSnO,0.8762,3.49,Monoclinic
ZnO,0.3216,3.01,Orthorhombic
CuMnSnO,0.1102,2.23,Tetragonal
GaAs,0.3786,2.12,Cubic
ZnO,0.045,3.33,Monoclinic
CuO,0.7483,3.03,Hexagonal
Ge,0.7477,2.85,Cubic
CuO,0.9557,2.19,Cubic
GaAs,0.352,2.21,Hexagonal
GaAs,0.0938,3.2,Monoclinic
CuO,0.0409,3.35,Hexagonal
Si,0.7916,1.99,Cubic
GaAs,0.3304,3.09,Monoclinic
GaAs,0.7832,2.27,Cubic
Ge,0.0347,1.71,Tetragonal
CuO,0.3718,2.49,Tetragonal
GaAs,0.9439,3.2,Monoclinic
GaAs,0.9518,2.85,Cubic
Si,0.4718,1.87,Cubic
GaAs,0.2473,2.62,Monoclinic
CuMnSnO,0.3999,2.35,Monoclinic
GaAs,0.9923,2.41,Orthorhombic
Ge,0.709,2.63,Cubic
CuMnSnO,0.1582,1.1,Monoclinic
GaAs,0.6839,1.37,Orthorhombic
Si,0.5234,1.78,Orthorhombic
CuO,0.3652,1.16,Cubic
Si,0.6934,1.14,Orthorhombic
CuO,0.86,1.2,Hexagonal
Si,0.0357,3.41,Monoclinic
ZnO,0.5117,1.88,Orthorhombic
CuO,0.5824,1.35,Tetragonal
ZnO,0.0932,2.29,Hexagonal
CuMnSnO,0.1188,2.7,Hexagonal
GaAs,0.8228,2.37,Cubic
GaAs,0.4578,2.84,Hexagonal
CuMnSnO,0.1845,2.3,Hexagonal
Si,0.9275,2.04,Orthorhombic
CuMnSnO,0.4979,1.3,Orthorhombic
Ge,0.3328,1.26,Monoclinic
CuMnSnO,0.506,3.29,Monoclinic
GaAs,0.3958,2.71,Orthorhombic
CuMnSnO,0.7841,1.36,Hexagonal
Ge,0.5795,2.76,Orthorhombic
Ge,0.0744,3.07,Cubic
Si,0.3328,1.17,Hexagonal
Ge,0.4758,3.02,Hexagonal
GaAs,0.7958,2.72,Monoclinic
Ge,0.0609,2.26,Orthorhombic
GaAs,0.6907,1.59,Cubic
ZnO,0.4035,1.27,Monoclinic
CuO,0.1985,3.25,Monoclinic
Ge,0.8663,2.58,Cubic
CuO,0.3823,2.02,Tetragonal
Ge,0.9449,1.48,Monoclinic
ZnO,0.5839,3.12,Tetragonal
ZnO,0.1688,1.13,Hexagonal
CuO,0.9186,1.48,Tetragonal
Si,0.099,1.23,Tetragonal
CuMnSnO,0.1455,2.7,Tetragonal
Si,0.8098,3.33,Hexagonal
ZnO,0.946,2.43,Hexagonal
ZnO,0.8209,2.58,Monoclinic
CuMnSnO,0.4378,1.07,Hexagonal
ZnO,0.1643,1.76,Monoclinic
Si,0.5511,1.09,Cubic
ZnO,0.256,2.01,Orthorhombic
Si,0.2226,1.19,Hexagonal
CuO,0.2061,2.11,Cubic
GaAs,0.3715,3.35,Monoclinic
GaAs,0.7258,2.98,Tetragonal
CuMnSnO,0.8786,2.0,Orthorhombic
GaAs,0.4117,3.25,Cubic
CuO,0.6111,2.31,Orthorhombic
Si,0.2887,1.22,Orthorhombic
Ge,0.1658,2.39,Hexagonal
GaAs,0.3183,1.22,Hexagonal
GaAs,0.591,2.09,Monoclinic
GaAs,0.4363,1.14,Hexagonal
CuMnSnO,0.054,3.44,Hexagonal
Si,0.3032,1.1,Tetragonal
CuO,0.1175,2.02,Monoclinic
Si,0.2533,2.59,Orthorhombic
Si,0.6628,2.56,Hexagonal
CuMnSnO,0.2696,2.98,Cubic
CuMnSnO,0.2022,2.17,Orthorhombic
CuMnSnO,0.5941,1.19,Cubic
